16041,CSCE ,791,30 - Columbia Full Term ,Seminar in Advances in Computing ,F ,49,Gabriel Alin Terejanu (P) 
12854,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Jason Daniel Bakos (P) 
12856,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Jenay Michelle Beer (P) 
12858,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Duncan A. Buell (P) 
12859,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Caroline Merriam Eastman (P) 
12861,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Csilla Farkas (P) 
12862,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Stephen A. Fenner (P) 
12863,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Gregory James Gay (P) 
19904,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Jianjun Hu (P) 
12864,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Chin-Tser Huang (P) 
12868,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Michael N. Huhns (P) 
12870,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Manton M. Matthews (P) 
12873,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Srihari Nelakuditi (P) 
12874,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Jason Matthew Okane (P) 
12877,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Ioannis M Rekleitis (P) 
12878,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,John R. Rose (P) 
12881,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Jijun Tang (P) 
12885,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Gabriel Alin Terejanu (P) 
12886,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Matt Eric Thatcher (P) 
